# Frequency of Words Appearing in 4 Years of the Mainichi Newspaper.
# This file was produced by Charles Kelly (September 24-26, 2003)
# http://aitech.ac.jp/~ckelly/
#
# This file recalculates the word frequency counts in
# Alexandre Girardi's "wordfreq" file. (1998)
#
# This is what I did.
# The counts for the various forms of the same word were merged.
# Certain words/items were removed: numbers, English and romaji,
# punctuation, phrases ending in the particle "wo", lines beginning with
# "n" or the particle "wo."
# Then the file was sorted by "the count."
#
# The most fequently used word was used 3,711,420 times.
#    592 words were used more than 10,000 times.
#  5,039 words were used more than 1,000 times.
#  7,654 words were used more than 500 times.
# 19,602 words were used more than 100 times.
# 26,813 words were used more than 50 times.
# 38,389 words were used more than 20 times.
#
# The data contains 142,298 lines in the following format.
# The Word + TAB + The Count

クラブ	5179
並ぶ	5172
査察	5170
ボスニア	5158
どんな	5149
若者	5149
好き	5147
中東	5145
基地	5141
官邸	5140
会合	5139
心配	5127
世論	5121
第二	5120
大量	5119
音	5117
世代	5115
通常	5113
同党	5112
展	5104
イタリア	5093
先月	5084
国籍	5080
動く	5079
席	5078
船	5070
人権	5067
検査	5067
総額	5066
受賞	5055
全く	5044
けど	5044
進出	5043
治療	5039
回る	5029
局長	5028
等	5023
行	5020
わずか	5017
狙い	5014
集中	5013
日程	5007
男女	5005
かねる	5001
香港	5000
結成	4997
党内	4993
普通	4992
とどまる	4988
盛り込む	4986
推薦	4982
延長	4981
変更	4979
させる	4972
傾向	4965
死ぬ	4964
正式	4956
大変	4953
出版	4951
強まる	4950
初め	4949
作り	4945
株価	4943
当たり	4941
連盟	4936
朝鮮民主主義人民共和国	4935
ホール	4935
いける	4933
先生	4933
相当	4926
比例	4926
級	4921
練習	4918
現行	4918
博	4917
太平洋	4915
事実上	4913
伊藤	4911
勝利	4904
流れ	4899
地震	4897
国境	4894
決勝	4888
国防	4885
雇用	4870
不満	4861
不動産	4857
航空	4857
山口	4857
ベトナム	4848
挑戦	4841
全員	4838
付	4837
しかも	4836
千代田	4836
証言	4829
クウェート	4823
歌	4821
層	4820
講演	4818
かなり	4815
曲	4814
先進国	4814
結ぶ	4814
安	4810
大使	4810
林	4810
公明党	4809
卒業	4805
前日	4804
きっかけ	4802
庁	4800
体験	4800
組合	4793
個	4790
条	4784
球	4783
総理	4782
孝	4781
結局	4780
原	4779
中村	4775
月末	4765
起こす	4761
罪	4759
語	4754
帰る	4753
土	4750
込む	4749
人事	4746
非常	4744
公園	4741
予選	4740
公共	4738
